locality,state,postcode,count
Melbourne,VIC,3000,117844
Southbank,VIC,3006,49606
Sydney,NSW,2000,46593
Surfers Paradise,QLD,4217,36525
Port Macquarie,NSW,2444,33862
Adelaide,SA,5000,30967
Southport,QLD,4215,30061
Reservoir,VIC,3073,29712
Tarneit,VIC,3029,29239
Docklands,VIC,3008,28587
Werribee,VIC,3030,27675
South Yarra,VIC,3141,27667
Pakenham,VIC,3810,26348
Carlton,VIC,3053,26333
Point Cook,VIC,3030,26250
Dubbo,NSW,2830,25907
Craigieburn,VIC,3064,25803
Blacktown,NSW,2148,25774
Parramatta,NSW,2150,25282
Orange,NSW,2800,25097
Frankston,VIC,3199,24350
Bankstown,NSW,2200,24063
Richmond,VIC,3121,23835
Berwick,VIC,3806,23341
Castle Hill,NSW,2154,22501
Preston,VIC,3072,22432
St Kilda,VIC,3182,22100
Mildura,VIC,3500,22046
Brisbane City,QLD,4000,21940
Sunbury,VIC,3429,21934
Warrnambool,VIC,3280,21606
Liverpool,NSW,2170,21604
Glen Waverley,VIC,3150,21140
Randwick,NSW,2031,20850
Truganina,VIC,3029,20706
Hurstville,NSW,2220,20513
Perth,WA,6000,20427
Clyde North,VIC,3978,19838
Coffs Harbour,NSW,2450,19752
Maroochydore,QLD,4558,19701
Ryde,NSW,2112,19589
Surry Hills,NSW,2010,19423
Shepparton,VIC,3630,19218
Dandenong,VIC,3175,19202
Mosman,NSW,2088,18941
Baldivis,WA,6171,18871
Mount Waverley,VIC,3149,18831
Brunswick,VIC,3056,18687
Wollongong,NSW,2500,18600
North Melbourne,VIC,3051,18553
St Albans,VIC,3021,18210
Maroubra,NSW,2035,18154
Buderim,QLD,4556,18139
Chatswood,NSW,2067,18136
Marrickville,NSW,2204,17907
Caboolture,QLD,4510,17719
Hawthorn,VIC,3122,17519
Auburn,NSW,2144,17364
Melbourne,VIC,3004,17309
Epping,VIC,3076,17294
Hoppers Crossing,VIC,3029,17131
Mornington,VIC,3931,17007
Cheltenham,VIC,3192,16895
Penrith,NSW,2750,16576
Armidale,NSW,2350,16492
Dee Why,NSW,2099,16468
Epping,NSW,2121,16432
Mount Gambier,SA,5290,16407
Footscray,VIC,3011,16283
Traralgon,VIC,3844,16210
Noble Park,VIC,3174,16163
Croydon,VIC,3136,16066
Wollert,VIC,3750,15832
Baulkham Hills,NSW,2153,15580
Doncaster East,VIC,3109,15445
Campsie,NSW,2194,15304
Goulburn,NSW,2580,15298
Merrylands,NSW,2160,15284
Brighton,VIC,3186,15252
Coburg,VIC,3058,15163
Port Melbourne,VIC,3207,15043
Cronulla,NSW,2230,14983
Northcote,VIC,3070,14971
Doncaster,VIC,3108,14948
Ashfield,NSW,2131,14901
Hornsby,NSW,2077,14877
Mascot,NSW,2020,14810
Bentleigh East,VIC,3165,14731
Labrador,QLD,4215,14578
Manly,NSW,2095,14456
Waterloo,NSW,2017,14372
Morayfield,QLD,4506,14366
South Brisbane,QLD,4101,14279
Ferntree Gully,VIC,3156,14223
Canning Vale,WA,6155,14180
Rowville,VIC,3178,14119
Malvern East,VIC,3145,14118
Kew,VIC,3101,14104
West Melbourne,VIC,3003,14046
Bundoora,VIC,3083,13995
Glen Iris,VIC,3146,13907
South Melbourne,VIC,3205,13837
Boronia,VIC,3155,13760
Strathfield,NSW,2135,13718
Robina,QLD,4226,13622
Ocean Grove,VIC,3226,13491
Broken Hill,NSW,2880,13439
Keysborough,VIC,3173,13367
Fortitude Valley,QLD,4006,13324
Scarborough,WA,6019,13243
Forster,NSW,2428,13224
Carlingford,NSW,2118,13193
Morphett Vale,SA,5162,13181
Ringwood,VIC,3134,13158
Kogarah,NSW,2217,13113
Glenroy,VIC,3046,12949
Carrum Downs,VIC,3201,12905
Springvale,VIC,3171,12823
Essendon,VIC,3040,12791
Burwood,NSW,2134,12740
Broadbeach,QLD,4218,12738
Miranda,NSW,2228,12622
Dianella,WA,6059,12612
Rockingham,WA,6168,12592
Wodonga,VIC,3690,12558
Warragul,VIC,3820,12522
Camberwell,VIC,3124,12518
Lidcombe,NSW,2141,12477
Pyrmont,NSW,2009,12469
Mill Park,VIC,3082,12446
Coorparoo,QLD,4151,12356
Narre Warren,VIC,3805,12348
Clayton,VIC,3168,12345
Thomastown,VIC,3074,12336
Mount Barker,SA,5251,12332
Palm Beach,QLD,4221,12326
Morley,WA,6062,12296
Darlinghurst,NSW,2010,12290
Burleigh Heads,QLD,4220,12286
Box Hill,VIC,3128,12283
Wangaratta,VIC,3677,12283
Campbelltown,NSW,2560,12168
Seaford,VIC,3198,12113
Torquay,VIC,3228,12079
East Perth,WA,6004,12016
Cleveland,QLD,4163,11927
Griffith,NSW,2680,11896
Carnegie,VIC,3163,11857
Upper Coomera,QLD,4209,11813
South Perth,WA,6151,11760
Bondi Junction,NSW,2022,11718
Redfern,NSW,2016,11711
Prahran,VIC,3181,11675
Rosebud,VIC,3939,11667
Thornbury,VIC,3071,11626
Newtown,NSW,2042,11601
Elwood,VIC,3184,11586
North Sydney,NSW,2060,11565
Lara,VIC,3212,11415
Pimpama,QLD,4209,11393
West End,QLD,4101,11378
Rye,VIC,3941,11282
Wyndham Vale,VIC,3024,11248
Taree,NSW,2430,11240
Macquarie Park,NSW,2113,11215
Seven Hills,NSW,2147,11193
Maylands,WA,6051,11180
Doreen,VIC,3754,11172
Coogee,NSW,2034,11139
Cranbourne,VIC,3977,11139
Alexandria,NSW,2015,11101
Guildford,NSW,2161,11049
Greenacre,NSW,2190,10991
Mandurah,WA,6210,10970
Quakers Hill,NSW,2763,10905
Russell Island,QLD,4184,10879
Officer,VIC,3809,10851
Langwarrin,VIC,3910,10844
Como,WA,6152,10820
Redbank Plains,QLD,4301,10799
South Morang,VIC,3752,10776
Mount Martha,VIC,3934,10773
Kallangur,QLD,4503,10768
Mooroolbark,VIC,3138,10766
Kellyville,NSW,2155,10762
Greensborough,VIC,3088,10759
Port Lincoln,SA,5606,10739
Capalaba,QLD,4157,10728
Moonee Ponds,VIC,3039,10698
Ellenbrook,WA,6069,10687
Nerang,QLD,4211,10663
Mickleham,VIC,3064,10604
Cabramatta,NSW,2166,10562
Hope Island,QLD,4212,10557
Rockdale,NSW,2216,10556
Gosnells,WA,6110,10548
Bondi Beach,NSW,2026,10489
Caringbah,NSW,2229,10473
Murray Bridge,SA,5253,10456
Hawthorn East,VIC,3123,10429
Chermside,QLD,4032,10429
Highton,VIC,3216,10426
Caulfield North,VIC,3161,10368
Brunswick East,VIC,3057,10350
Pascoe Vale,VIC,3044,10334
North Lakes,QLD,4509,10294
Leichhardt,NSW,2040,10257
Lilydale,VIC,3140,10246
Narre Warren South,VIC,3805,10231
Nundah,QLD,4012,10218
Westmead,NSW,2145,10217
Zetland,NSW,2017,10212
Sale,VIC,3850,10205
Eastwood,NSW,2122,10203
Bayswater,WA,6053,10164
Brunswick West,VIC,3055,10152
Wantirna South,VIC,3152,10149
New Farm,QLD,4005,10106
Mernda,VIC,3754,10079
Lalor,VIC,3075,10062
Greenvale,VIC,3059,10033
Hampton Park,VIC,3976,10009
Fairfield,NSW,2165,9986
Umina Beach,NSW,2257,9974
Fitzroy,VIC,3065,9944
Thornlie,WA,6108,9934
Coomera,QLD,4209,9849
Helensvale,QLD,4212,9839
Emerald,QLD,4720,9836
Forest Lake,QLD,4078,9807
Toorak,VIC,3142,9776
Maryborough,QLD,4650,9756
Dandenong North,VIC,3175,9717
Cranbourne East,VIC,3977,9714
Kirwan,QLD,4817,9710
Bentleigh,VIC,3204,9706
Deception Bay,QLD,4508,9693
Mulgrave,VIC,3170,9667
Echuca,VIC,3564,9628
Horsham,VIC,3400,9604
Morwell,VIC,3840,9596
Haymarket,NSW,2000,9539
Wheelers Hill,VIC,3150,9538
Endeavour Hills,VIC,3802,9536
Mitcham,VIC,3132,9518
St Marys,NSW,2760,9515
Varsity Lakes,QLD,4227,9512
Narangba,QLD,4504,9478
Glebe,NSW,2037,9455
Kangaroo Point,QLD,4169,9453
West Perth,WA,6005,9449
Toowong,QLD,4066,9440
Punchbowl,NSW,2196,9423
Altona Meadows,VIC,3028,9416
Noosaville,QLD,4566,9410
Balwyn North,VIC,3104,9397
Glenmore Park,NSW,2745,9373
Bayswater,VIC,3153,9360
Ballina,NSW,2478,9359
Devonport,TAS,7310,9354
Wynnum,QLD,4178,9325
Caroline Springs,VIC,3023,9309
Kensington,VIC,3031,9286
Rosebery,NSW,2018,9268
Dulwich Hill,NSW,2203,9263
Subiaco,WA,6008,9250
Ultimo,NSW,2007,9212
Bexley,NSW,2207,9200
Granville,NSW,2142,9150
Armstrong Creek,VIC,3217,9115
Fremantle,WA,6160,9100
Neutral Bay,NSW,2089,9081
Burpengary,QLD,4505,9073
Sunshine West,VIC,3020,9065
Greystanes,NSW,2145,9059
Collingwood,VIC,3066,9059
Drouin,VIC,3818,9041
Eltham,VIC,3095,9014
Potts Point,NSW,2011,8986
Woolloongabba,QLD,4102,8985
Cessnock,NSW,2325,8979
Mooloolaba,QLD,4557,8975
Eagleby,QLD,4207,8972
Ascot Vale,VIC,3032,8962
Williamstown,VIC,3016,8959
Indooroopilly,QLD,4068,8956
Burwood,VIC,3125,8951
Fraser Rise,VIC,3336,8951
Belmont,VIC,3216,8938
Paddington,NSW,2021,8932
Mentone,VIC,3194,8929
Coolangatta,QLD,4225,8922
Banora Point,NSW,2486,8876
Ivanhoe,VIC,3079,8831
Yarraville,VIC,3013,8806
Drummoyne,NSW,2047,8769
Frankston South,VIC,3199,8740
Cowes,VIC,3922,8715
Rivervale,WA,6103,8681
Lakemba,NSW,2195,8660
Coolum Beach,QLD,4573,8659
Cranbourne North,VIC,3977,8656
Cranbourne West,VIC,3977,8643
St Ives,NSW,2075,8625
Wentworth Point,NSW,2127,8623
St Kilda East,VIC,3183,8620
East Melbourne,VIC,3002,8591
Blackburn,VIC,3130,8580
Yagoona,NSW,2199,8566
Bowen,QLD,4805,8549
Lavington,NSW,2641,8543
Ingleburn,NSW,2565,8539
Byford,WA,6122,8539
Brighton East,VIC,3187,8530
Victoria Point,QLD,4165,8512
Lane Cove,NSW,2066,8505
Mount Eliza,VIC,3930,8502
Kingsford,NSW,2032,8479
Redland Bay,QLD,4165,8462
Thornlands,QLD,4164,8443
Gladesville,NSW,2111,8434
Clayton South,VIC,3169,8395
Fitzroy North,VIC,3068,8346
Wallan,VIC,3756,8340
Tweed Heads,NSW,2485,8330
Revesby,NSW,2212,8323
St Leonards,NSW,2065,8321
Cremorne,NSW,2090,8321
Armadale,WA,6112,8313
Sutherland,NSW,2232,8306
Darwin City,NT,0800,8296
Mermaid Beach,QLD,4218,8288
Mount Druitt,NSW,2770,8254
Botany,NSW,2019,8240
Willetton,WA,6155,8237
Wahroonga,NSW,2076,8230
Yokine,WA,6060,8221
Halls Head,WA,6210,8215
Earlwood,NSW,2206,8214
Spring Hill,QLD,4000,8209
Redcliffe,QLD,4020,8204
Bondi,NSW,2026,8177
Wentworthville,NSW,2145,8162
Charlestown,NSW,2290,8140
Corio,VIC,3214,8132
Deer Park,VIC,3023,8124
Clyde,VIC,3978,8123
Altona North,VIC,3025,8122
Park Ridge,QLD,4125,8105
Nambour,QLD,4560,8085
Oran Park,NSW,2570,8082
Abbotsford,VIC,3067,8079
Altona,VIC,3018,8069
Maribyrnong,VIC,3032,8061
Geelong,VIC,3220,8061
Calamvale,QLD,4116,8053
Engadine,NSW,2233,8032
Prospect,SA,5082,8030
Urangan,QLD,4655,8000
Roxburgh Park,VIC,3064,7978
Carindale,QLD,4152,7977
Annerley,QLD,4103,7966
Keilor East,VIC,3033,7960
Terrigal,NSW,2260,7958
Warwick,QLD,4370,7954
Highett,VIC,3190,7950
Toongabbie,NSW,2146,7938
Muswellbrook,NSW,2333,7923
Victoria Park,WA,6100,7913
Ashmore,QLD,4214,7896
Lane Cove North,NSW,2066,7879
Templestowe,VIC,3106,7869
Morningside,QLD,4170,7856
Sunnybank Hills,QLD,4109,7855
Wagga Wagga,NSW,2650,7851
Schofields,NSW,2762,7847
Grovedale,VIC,3216,7836
Kensington,NSW,2033,7831
Burleigh Waters,QLD,4220,7817
Mount Lawley,WA,6050,7808
Rhodes,NSW,2138,7803
Wembley,WA,6014,7797
Dalby,QLD,4405,7789
North Kellyville,NSW,2155,7784
Hampton,VIC,3188,7745
Camperdown,NSW,2050,7726
Balwyn,VIC,3103,7721
Balcatta,WA,6021,7711
Homebush,NSW,2140,7703
Rouse Hill,NSW,2155,7700
Austral,NSW,2179,7686
North Parramatta,NSW,2151,7681
Parkes,NSW,2870,7678
Bowral,NSW,2576,7632
Mudgee,NSW,2850,7620
Hamilton,QLD,4007,7617
Belmore,NSW,2192,7616
Eight Mile Plains,QLD,4113,7615
Australind,WA,6233,7615
The Gap,QLD,4061,7596
Ormeau,QLD,4208,7596
Clayfield,QLD,4011,7590
Armadale,VIC,3143,7587
West Wodonga,VIC,3690,7578
Goonellabah,NSW,2480,7570
Parafield Gardens,SA,5107,7557
Cherrybrook,NSW,2126,7529
West Ryde,NSW,2114,7528
Riverwood,NSW,2210,7528
Wallsend,NSW,2287,7509
St Lucia,QLD,4067,7503
East Maitland,NSW,2323,7502
Gympie,QLD,4570,7489
Albany Creek,QLD,4035,7479
Carrara,QLD,4211,7471
Rochedale South,QLD,4123,7452
Woy Woy,NSW,2256,7451
Padstow,NSW,2211,7448
Erskineville,NSW,2043,7438
Bentley,WA,6102,7433
Benalla,VIC,3672,7427
Bracken Ridge,QLD,4017,7423
Newstead,QLD,4006,7413
Penshurst,NSW,2222,7395
Byron Bay,NSW,2481,7375
Raymond Terrace,NSW,2324,7370
Balmain,NSW,2041,7328
Kingswood,NSW,2747,7327
St Clair,NSW,2759,7311
Upper Mount Gravatt,QLD,4122,7298
Balga,WA,6061,7298
Surrey Hills,VIC,3127,7286
Young,NSW,2594,7281
Inverell,NSW,2360,7278
Peakhurst,NSW,2210,7270
Aspley,QLD,4034,7244
Broadmeadows,VIC,3047,7242
Ashgrove,QLD,4060,7237
Nollamara,WA,6061,7230
Homebush West,NSW,2140,7225
Grafton,NSW,2460,7224
Biggera Waters,QLD,4216,7224
Sandy Bay,TAS,7005,7223
Nelson Bay,NSW,2315,7217
Elsternwick,VIC,3185,7212
Belconnen,ACT,2617,7201
Moorooka,QLD,4105,7194
Casula,NSW,2170,7192
Sunshine North,VIC,3020,7186
Woodridge,QLD,4114,7184
Birkdale,QLD,4159,7177
Wolli Creek,NSW,2205,7164
Mareeba,QLD,4880,7163
Braddon,ACT,2612,7134
Ballajura,WA,6066,7126
Leopold,VIC,3224,7121
Nowra,NSW,2541,7111
Chippendale,NSW,2008,7109
Maddington,WA,6109,7099
Mermaid Waters,QLD,4218,7091
Glenorchy,TAS,7010,7089
Kirrawee,NSW,2232,7082
Alexandra Hills,QLD,4161,7080
Smithfield,NSW,2164,7075
Rose Bay,NSW,2029,7072
Mawson Lakes,SA,5095,7071
Nunawading,VIC,3131,7064
Hamilton Hill,WA,6163,7061
Mango Hill,QLD,4509,7045
Katoomba,NSW,2780,7042
East Victoria Park,WA,6101,7038
West Footscray,VIC,3012,7035
Malvern,VIC,3144,7026
Portland,VIC,3305,6990
Paralowie,SA,5108,6976
Marsden Park,NSW,2765,6975
Forrestfield,WA,6058,6972
Swan Hill,VIC,3585,6962
Box Hill,NSW,2765,6961
Cowra,NSW,2794,6947
Moe,VIC,3825,6942
Wendouree,VIC,3355,6940
Inala,QLD,4077,6934
Marsfield,NSW,2122,6932
Hastings,VIC,3915,6916
Tweed Heads South,NSW,2486,6881
Rutherford,NSW,2320,6878
Bongaree,QLD,4507,6872
Templestowe Lower,VIC,3107,6868
Dromana,VIC,3936,6865
Osborne Park,WA,6017,6860
Kingston,TAS,7050,6854
Kambah,ACT,2902,6841
South Hedland,WA,6722,6835
Sandringham,VIC,3191,6808
Pacific Pines,QLD,4211,6807
Mortdale,NSW,2223,6804
Hamilton,VIC,3300,6784
Arncliffe,NSW,2205,6780
Noosa Heads,QLD,4567,6778
Mona Vale,NSW,2103,6773
Greenbank,QLD,4124,6769
Newport,VIC,3015,6765
Miami,QLD,4220,6759
Gunnedah,NSW,2380,6758
Casino,NSW,2470,6744
Springfield Lakes,QLD,4300,6733
Slacks Creek,QLD,4127,6719
Carina,QLD,4152,6718
Kangaroo Flat,VIC,3555,6710
North Ryde,NSW,2113,6709
Campbellfield,VIC,3061,6704
Kilsyth,VIC,3137,6698
Fawkner,VIC,3060,6697
Beenleigh,QLD,4207,6689
Concord,NSW,2137,6676
Parkdale,VIC,3195,6675
Yarrawonga,VIC,3730,6654
Marsden,QLD,4132,6638
Duncraig,WA,6023,6634
Sebastopol,VIC,3356,6631
Coombabah,QLD,4216,6631
Clarkson,WA,6030,6620
Windsor,VIC,3181,6619
Arundel,QLD,4214,6616
Claremont,WA,6010,6608
Sans Souci,NSW,2219,6598
Sylvania,NSW,2224,6595
Mount Gravatt East,QLD,4122,6595
Runaway Bay,QLD,4216,6591
Beaumaris,VIC,3193,6583
Bassendean,WA,6054,6579
Mudgeeraba,QLD,4213,6555
West Pennant Hills,NSW,2125,6548
Merewether,NSW,2291,6530
Caulfield South,VIC,3162,6509
Springwood,QLD,4127,6506
Wantirna,VIC,3152,6503
Camp Hill,QLD,4152,6488
Kingaroy,QLD,4610,6486
Newcastle,NSW,2300,6473
Wellard,WA,6170,6466
Cranebrook,NSW,2749,6464
Minto,NSW,2566,6462
Box Hill North,VIC,3129,6452
Artarmon,NSW,2064,6435
Carlton,NSW,2218,6433
Runcorn,QLD,4113,6432
Brassall,QLD,4305,6426
Wynnum West,QLD,4178,6410
Burpengary East,QLD,4505,6401
Landsdale,WA,6065,6383
Melton South,VIC,3338,6382
Kingsgrove,NSW,2208,6380
Bateau Bay,NSW,2261,6375
Moree,NSW,2400,6360
Hillside,VIC,3037,6357
Cairns City,QLD,4870,6357
Margaret River,WA,6285,6355
Prestons,NSW,2170,6351
Northmead,NSW,2152,6349
Taringa,QLD,4068,6339
Albion Park,NSW,2527,6333
Bellevue Hill,NSW,2023,6329
Oxenford,QLD,4210,6322
Piara Waters,WA,6112,6313
Moorabbin,VIC,3189,6312
Greenfields,WA,6210,6309
Wanneroo,WA,6065,6290
Tullamarine,VIC,3043,6286
Logan Reserve,QLD,4133,6274
Joondalup,WA,6027,6273
Kingscliff,NSW,2487,6263
Mordialloc,VIC,3195,6253
Seaton,SA,5023,6250
Bathurst,NSW,2795,6236
Newtown,QLD,4350,6233
Sunshine,VIC,3020,6226
Bargara,QLD,4670,6223
Manor Lakes,VIC,3024,6219
Taylors Lakes,VIC,3038,6219
Shailer Park,QLD,4128,6219
Turramurra,NSW,2074,6218
Innaloo,WA,6018,6216
Woonona,NSW,2517,6212
Braybrook,VIC,3019,6210
Everton Park,QLD,4053,6208
Burwood East,VIC,3151,6201
Pymble,NSW,2073,6190
Norwood,SA,5067,6170
Kelmscott,WA,6111,6165
Tewantin,QLD,4565,6161
Aldinga Beach,SA,5173,6161
Kedron,QLD,4031,6160
Paddington,QLD,4064,6160
Rooty Hill,NSW,2766,6159
Macquarie Fields,NSW,2564,6155
Newtown,VIC,3220,6143
Phillip,ACT,2606,6134
Thurgoona,NSW,2640,6125
Mayfield,NSW,2304,6121
Narrabeen,NSW,2101,6118
Roselands,NSW,2196,6110
Brighton-le-sands,NSW,2216,6109
Bairnsdale,VIC,3875,6107
Hallam,VIC,3803,6099
Ayr,QLD,4807,6097
Midland,WA,6056,6074
Manly West,QLD,4179,6072
Wyoming,NSW,2250,6062
Chester Hill,NSW,2162,6060
Panania,NSW,2213,6058
Inverloch,VIC,3996,6058
Donvale,VIC,3111,6057
Spearwood,WA,6163,6056
North Adelaide,SA,5006,6052
Somerville,VIC,3912,6046
Ermington,NSW,2115,6044
Moama,NSW,2731,6044
Griffin,QLD,4503,6040
Oakleigh,VIC,3166,6028
Wellington Point,QLD,4160,6027
Yarrabilba,QLD,4207,6012
Lindfield,NSW,2070,6009
Five Dock,NSW,2046,5970
Alkimos,WA,6038,5957
Harristown,QLD,4350,5953
The Ponds,NSW,2769,5946
Colac,VIC,3250,5944
Annandale,NSW,2038,5942
Bendigo,VIC,3550,5930
Yamba,NSW,2464,5925
Deanside,VIC,3336,5925
Petersham,NSW,2049,5924
Alfredton,VIC,3350,5909
Tuncurry,NSW,2428,5898
Kelvin Grove,QLD,4059,5892
Port Kennedy,WA,6172,5884
Canterbury,NSW,2193,5879
Nedlands,WA,6009,5874
Aveley,WA,6069,5871
Caringbah South,NSW,2229,5866
Norlane,VIC,3214,5855
Moranbah,QLD,4744,5833
Bowen Hills,QLD,4006,5827
Atherton,QLD,4883,5823
Kingston,ACT,2604,5811
Currumbin Waters,QLD,4223,5810
Benowa,QLD,4217,5809
North Perth,WA,6006,5803
Woollahra,NSW,2025,5802
Hobart,TAS,7000,5801
Forest Hill,VIC,3131,5795
Donnybrook,VIC,3064,5790
Gosford,NSW,2250,5789
Yanchep,WA,6035,5786
Avondale Heights,VIC,3034,5785
High Wycombe,WA,6057,5785
West Busselton,WA,6280,5768
Greenslopes,QLD,4120,5761
Rozelle,NSW,2039,5757
Elizabeth Bay,NSW,2011,5756
Brookvale,NSW,2100,5756
Meadow Heights,VIC,3048,5754
Yeppoon,QLD,4703,5753
Bulleen,VIC,3105,5752
Elanora,QLD,4221,5752
Port Douglas,QLD,4877,5743
Dapto,NSW,2530,5726
Moorebank,NSW,2170,5723
Ulladulla,NSW,2539,5722
Golden Square,VIC,3555,5718
Frenchs Forest,NSW,2086,5714
Moss Vale,NSW,2577,5713
Murrumbeena,VIC,3163,5709
Kingston,QLD,4114,5701
Campbelltown,SA,5074,5701
Dunsborough,WA,6281,5698
Sippy Downs,QLD,4556,5697
Forbes,NSW,2871,5696
Airport West,VIC,3042,5696
Gordon,NSW,2072,5690
Gracemere,QLD,4702,5690
Kiama,NSW,2533,5689
Diamond Creek,VIC,3089,5681
Gisborne,VIC,3437,5681
Main Beach,QLD,4217,5681
Portarlington,VIC,3223,5680
Deniliquin,NSW,2710,5675
Condell Park,NSW,2200,5673
Parkville,VIC,3052,5671
Kearneys Spring,QLD,4350,5669
Kingsley,WA,6026,5667
Oakleigh South,VIC,3167,5666
Leppington,NSW,2179,5663
Coburg North,VIC,3058,5647
Chelsea,VIC,3196,5644
South Bunbury,WA,6230,5641
Edmondson Park,NSW,2174,5617
Butler,WA,6036,5611
New Lambton,NSW,2305,5606
Maryborough,VIC,3465,5597
Maidstone,VIC,3012,5596
Edmonton,QLD,4869,5595
Ringwood East,VIC,3135,5594
Scarborough,QLD,4020,5593
Windsor,QLD,4030,5579
Bayswater North,VIC,3153,5577
Kincumber,NSW,2251,5576
Leeton,NSW,2705,5566
Cannington,WA,6107,5554
Strathpine,QLD,4500,5540
Magill,SA,5072,5526
Matraville,NSW,2036,5524
Roma,QLD,4455,5524
Hallett Cove,SA,5158,5521
Mount Duneed,VIC,3217,5514
Figtree,NSW,2525,5513
Mosman Park,WA,6012,5484
Port Augusta,SA,5700,5462
Doonside,NSW,2767,5446
The Entrance,NSW,2261,5444
Kelso,NSW,2795,5443
Crows Nest,NSW,2065,5439
Waikiki,WA,6169,5438
Kilmore,VIC,3764,5433
Chadstone,VIC,3148,5426
Southern River,WA,6110,5425
Flemington,VIC,3031,5412
Tuart Hill,WA,6060,5412
Macleod,VIC,3085,5400
Wetherill Park,NSW,2164,5381
Paradise Point,QLD,4216,5381
Chirnside Park,VIC,3116,5364
Success,WA,6164,5350
North Bondi,NSW,2026,5339
Croydon Park,NSW,2133,5336
Zillmere,QLD,4034,5334
Tarragindi,QLD,4121,5310
Happy Valley,SA,5159,5301
Narrabri,NSW,2390,5298
Nambucca Heads,NSW,2448,5297
Salisbury,SA,5108,5294
Blackburn South,VIC,3130,5289
Melton,VIC,3337,5288
Safety Beach,VIC,3936,5288
Freshwater,NSW,2096,5287
Thornton,NSW,2322,5285
Bli Bli,QLD,4560,5283
City,ACT,2601,5256
Riverstone,NSW,2765,5249
Belmont,WA,6104,5247
Warners Bay,NSW,2282,5245
Bulimba,QLD,4171,5239
Chipping Norton,NSW,2170,5238
St Leonards,VIC,3223,5235
Crestmead,QLD,4132,5226
Vermont South,VIC,3133,5224
Killara,NSW,2071,5223
Cloverdale,WA,6105,5223
Mountain Creek,QLD,4557,5222
Roseville,NSW,2069,5219
Golden Grove,SA,5125,5217
Bardon,QLD,4065,5210
Lennox Head,NSW,2478,5205
Cairns North,QLD,4870,5192
Andergrove,QLD,4740,5189
Glenwood,NSW,2768,5186
Palmyra,WA,6157,5186
Bridgeman Downs,QLD,4035,5182
Wollstonecraft,NSW,2065,5172
Castlemaine,VIC,3450,5165
Newport,NSW,2106,5159
Long Jetty,NSW,2261,5158
Clontarf,QLD,4019,5151
Loganlea,QLD,4131,5150
Mitchelton,QLD,4053,5149
Murrumba Downs,QLD,4503,5149
Tugun,QLD,4224,5148
Hillarys,WA,6025,5145
Urraween,QLD,4655,5139
Medowie,NSW,2318,5135
Bossley Park,NSW,2176,5133
Wavell Heights,QLD,4012,5128
Doubleview,WA,6018,5126
Warner,QLD,4500,5125
Queanbeyan,ACT,2620,5120
Croydon,NSW,2132,5118
South Penrith,NSW,2750,5117
Geelong West,VIC,3218,5115
Oxley,QLD,4075,5103
Howrah,TAS,7018,5099
Balgowlah,NSW,2093,5091
Launceston,TAS,7250,5077
Vaucluse,NSW,2030,5076
Cannonvale,QLD,4802,5075
Murwillumbah,NSW,2484,5069
Kippa-ring,QLD,4021,5065
Sanctuary Point,NSW,2540,5046
Stafford,QLD,4053,5041
East Brisbane,QLD,4169,5033
Vermont,VIC,3133,5031
Norman Gardens,QLD,4701,5028
Salisbury North,SA,5108,5022
Gungahlin,ACT,2912,5015
Caloundra,QLD,4551,5015
Brighton,QLD,4017,5014
Broadbeach Waters,QLD,4218,5013
Mackay,QLD,4740,5011
Woolloomooloo,NSW,2011,4999
Avalon Beach,NSW,2107,4998
Acacia Ridge,QLD,4110,4997
Pascoe Vale South,VIC,3044,4988
Brabham,WA,6055,4982
Applecross,WA,6153,4974
Aberfoyle Park,SA,5159,4972
Oatley,NSW,2223,4968
Ballarat Central,VIC,3350,4965
Taylors Hill,VIC,3037,4954
Beverly Hills,NSW,2209,4952
Greenway,ACT,2900,4942
Harkness,VIC,3337,4940
Sunnybank,QLD,4109,4940
Dingley Village,VIC,3172,4937
Raceview,QLD,4305,4936
Carseldine,QLD,4034,4928
Summer Hill,NSW,2130,4926
Winston Hills,NSW,2153,4924
Ararat,VIC,3377,4924
Waitara,NSW,2077,4918
Bacchus Marsh,VIC,3340,4917
Northam,WA,6401,4900
Dandenong South,VIC,3175,4899
Tamborine Mountain,QLD,4272,4898
Trinity Beach,QLD,4879,4889
Doveton,VIC,3177,4876
Banksia Grove,WA,6031,4874
Karrinyup,WA,6018,4864
Double Bay,NSW,2028,4849
Caboolture South,QLD,4510,4848
North Ward,QLD,4810,4847
Boondall,QLD,4034,4844
Beaudesert,QLD,4285,4842
Margate,QLD,4019,4841
Ingle Farm,SA,5098,4828
Wiley Park,NSW,2195,4820
Warriewood,NSW,2102,4806
Albury,NSW,2640,4805
Hope Valley,SA,5090,4803
Erina,NSW,2250,4801
Yeronga,QLD,4104,4800
Chinchilla,QLD,4413,4799
Woodcroft,SA,5162,4793
Stanmore,NSW,2048,4790
Little Mountain,QLD,4551,4789
Ormond,VIC,3204,4776
Mooroopna,VIC,3629,4776
Tingalpa,QLD,4173,4774
Springvale South,VIC,3172,4768
Cottesloe,WA,6011,4762
Loganholme,QLD,4129,4761
Montmorency,VIC,3094,4756
Belmont,NSW,2280,4755
Gymea,NSW,2227,4749
Encounter Bay,SA,5211,4748
Dawesville,WA,6211,4743
Kalkallo,VIC,3064,4742
Beveridge,VIC,3753,4728
